URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://terminology.hl7.org/CodeSystem/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1108",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","ValueSet/location-physical-type"
http://terminology.hl7.org/CodeSystem/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/v2-0116,2.9,active,"2.16.840.1.113883.18.47",v2.0116,v2 BED STATUS,"FHIR Value set/code system definition for HL7 v2 table 0116 ( BED STATUS)","ValueSet/v2-0116"
http://terminology.hl7.org/CodeSystem/v2-0203,2.9,active,"2.16.840.1.113883.18.108",v2.0203,v2 Identifier Type,"FHIR Value set/code system definition for HL7 v2 table 0203 ( Identifier Type)","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,2018-08-12,active,"2.16.840.1.113883.5.111",v3.RoleCode,v3 Code System RoleCode," A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/v3-ServiceDeliveryLocationRoleType"
https://dhis2.org/CodeSystem/HIVFollowUpMethods,1.0.0,draft,,HIVFollowUpMethods,HIV Follow-up Methods,"Methods used for HIV follow-up.","ValueSet/HIVFollowUpMethodsVS"
https://dhis2.org/CodeSystem/HIVFollowUpOutcomes,1.0.0,draft,,HIVFollowUpOutcomes,HIV Follow-up Outcomes,"Outcomes for HIV follow-up.","ValueSet/HIVFollowUpOutcomesVS"
https://dhis2.org/CodeSystem/HIVReasonsForFollowUp,1.0.0,draft,,HIVReasonsForFollowUp,HIV Follow-up Reasons,"Reasons for HIV follow-up.","ValueSet/HIVReasonsForFollowUpVS"
https://dhis2.org/CodeSystem/HIVfacilityLevelTestingEntryPoints,1.0.0,draft,,HIVfacilityLevelTestingEntryPoints,HIV Entry Points for Facility-Level Testing,"HIV entry points for facility-level testing.","ValueSet/HIVfacilityLevelTestingEntryPointsVS"
https://dhis2.org/CodeSystem/HIVreasonsForVisit,1.0.0,draft,,HIVreasonsForVisit,HIV Reasons for Visit,"HIV reasons for visit.","ValueSet/HIVreasonsForVisitVS"
https://dhis2.org/CodeSystem/HIVtptRegimen,1.0.0,draft,,HIVtptRegimen,HIV TPT Regimen,"HIV TPT regimen.","ValueSet/HIVtptRegimenVS"
https://dhis2.org/CodeSystem/HIVtreatmentStatus,1.0.0,draft,,HIVtreatmentStatus,HIV Treatment Status,"HIV treatment status.","ValueSet/HIVtreatmentStatusVS"
https://dhis2.org/CodeSystem/HIVtypeOfTesting,1.0.0,draft,,HIVtypeOfTesting,HIV Type of Testing,"HIV type of community-level testing.","ValueSet/HIVtypeOfTestingVS"
https://dhis2.org/CodeSystem/patient-gender,1.0.0,draft,,HIVPatientGender,Patient Gender,"Patient gender codes.","ValueSet/HIVPatientGenderVS"
https://dhis2.org/CodeSystem/patient-sex-at-birth,1.0.0,draft,,PatientSexAtBirth,Patient Sex at Birth,"Patient sex at birth.","ValueSet/patient-sex-at-birth-vs"
