URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/MDOrganisationUnitOrganization","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/MDOrganisationUnitLocation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/MDOrganisationUnitLocation,StructureDefinition/MDOrganisationUnitOrganization","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/MDOrganisationUnitLocation,StructureDefinition/MDOrganisationUnitOrganization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/MDOrganisationUnitLocation,StructureDefinition/MDOrganisationUnitOrganization","Other"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/MDOrganisationUnitLocation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/MDOrganisationUnitLocation","THO"
http://hl7.org/fhir/ValueSet/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.332",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","StructureDefinition/MDOrganisationUnitLocation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/MDOrganisationUnitOrganization","THO"
http://terminology.hl7.org/ValueSet/v2-0116,2.9,active,,v2.0116,v2 BED STATUS,"FHIR Value set/code system definition for HL7 v2 table 0116 ( BED STATUS)","StructureDefinition/MDOrganisationUnitLocation","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,2014-03-26,active,"2.16.840.1.113883.1.11.17660",v3.ServiceDeliveryLocationRoleType,V3 Value SetServiceDeliveryLocationRoleType," A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/MDOrganisationUnitLocation","THO (V3)"
https://dhis2.org/ValueSet/HIVFollowUpMethodsVS,1.0.0,draft,,HIVFollowUpMethodsVS,HIV Follow-up Methods Value Set,"A value set including all methods used for HIV follow-up.","StructureDefinition/HIVFollowUp","Internal"
https://dhis2.org/ValueSet/HIVFollowUpOutcomesVS,1.0.0,draft,,HIVFollowUpOutcomesVS,HIV Follow-up Outcome Value Set,"A value set including all possible outcomes of HIV follow-up.","StructureDefinition/HIVFollowUp","Internal"
https://dhis2.org/ValueSet/HIVPatientGenderVS,1.0.0,draft,,HIVPatientGenderVS,Patient Gender Value Set,"patient gender value set.","StructureDefinition/HIVPatientInfo","Internal"
https://dhis2.org/ValueSet/HIVReasonsForFollowUpVS,1.0.0,draft,,HIVReasonsForFollowUpVS,HIV Follow-up Reasons Value Set,"A value set including all possible reasons for HIV follow-up.","StructureDefinition/HIVFollowUp","Internal"
https://dhis2.org/ValueSet/HIVfacilityLevelTestingEntryPointsVS,1.0.0,draft,,HIVfacilityLevelTestingEntryPointsVS,HIV Entry Points for Facility-Level Testing Value Set,"HIV entry points for facility-level testing value set.","StructureDefinition/HIVCaseData","Internal"
https://dhis2.org/ValueSet/HIVreasonsForVisitVS,1.0.0,draft,,HIVreasonsForVisitVS,HIV Reasons for Visit Value Set,"HIV reasons for visit value set.","StructureDefinition/HIVCaseVisitData","Internal"
https://dhis2.org/ValueSet/HIVtptRegimenVS,1.0.0,draft,,HIVtptRegimenVS,HIV TPT Regimen Value Set,"HIV tpt regimen value set.","StructureDefinition/HIVCaseVisitData","Internal"
https://dhis2.org/ValueSet/HIVtreatmentStatusVS,1.0.0,draft,,HIVtreatmentStatusVS,HIV Treatment Status Value Set,"HIV treatment status value set.","StructureDefinition/HIVCaseVisitData","Internal"
https://dhis2.org/ValueSet/HIVtypeOfTestingVS,1.0.0,draft,,HIVtypeOfTestingVS,HIV Type of Testing Value Set,"HIV type of testing value set.","StructureDefinition/HIVCaseData","Internal"
https://dhis2.org/ValueSet/patient-sex-at-birth-vs,1.0.0,draft,,PatientSexAtBirthVS,Patient Sex at Birth Value Set,"patient sex at birth value set.","StructureDefinition/PatientInfo,StructureDefinition/HIVPatientInfo","Internal"
